GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rational,edu.ucsb.cs56.pconrad.rational,ReadFileOfRationals,129,0,12,0,23,0,9,0,3,0
rational,edu.ucsb.cs56.pconrad.rational,BasicRational2String,0,6,0,0,0,2,0,2,0,2
rational,edu.ucsb.cs56.pconrad.rational,Main,66,0,2,0,17,0,3,0,2,0
rational,edu.ucsb.cs56.pconrad.rational,RationalTableDemo,14,0,0,0,5,0,2,0,2,0
rational,edu.ucsb.cs56.pconrad.rational,Rational,137,480,5,47,21,86,6,44,2,22
rational,edu.ucsb.cs56.pconrad.rational,Rational.HTMLFormatter,0,36,0,2,0,4,0,3,0,2
rational,edu.ucsb.cs56.pconrad.rational,PlainArrayDemo,82,0,6,0,13,0,5,0,2,0
rational,edu.ucsb.cs56.pconrad.rational,RealApproximationR2S,0,23,0,0,0,4,0,2,0,2
rational,edu.ucsb.cs56.pconrad.rational,Rational.Foo,9,0,0,0,2,0,2,0,2,0
rational,edu.ucsb.cs56.pconrad.rational,ArrayListDemo,77,0,6,0,14,0,5,0,2,0
rational,edu.ucsb.cs56.pconrad.rational,SortRationalsWithLambdas,254,0,8,0,35,0,12,0,8,0
